Price,Close,High,Low,Open,Volume,SMA20,EMA20,RSI
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2023-07-27,190.72421264648438,194.65279947329122,190.06286872536143,193.48804855415668,47460200,189.49579849243165,188.82076797678428,57.409573628554035
2023-07-28,193.3004913330078,194.0901608500724,191.63231843190331,192.15547128634879,48291400,189.80376739501952,189.24740855612222,70.41849842792041
2023-07-31,193.91249084472656,193.95198260711592,192.7378594315981,193.52752900074864,38824100,189.92616424560546,189.69170235210458,73.55099349385705
2023-08-01,193.08334350585938,194.1888718595327,192.75760424557473,193.7052107356477,35175100,190.08162994384764,190.0147159562709,67.25769066668128
2023-08-02,190.0924530029297,192.65885986117044,189.3718866034585,192.52066883850895,50389300,190.14332122802733,190.0221194878618,55.31794684148679
2023-08-03,188.70069885253906,189.885195713569,188.22690312046603,189.09554118067888,61235200,190.11173477172852,189.89626985221255,51.17417369950742
2023-08-04,179.63926696777344,184.9596445164711,179.57016391801557,183.12366926443607,115956800,189.6828468322754,188.9194120741441,27.203598680624737
2023-08-07,176.5398406982422,180.7645556934903,175.0592158617292,179.77747246914834,97576100,189.20114974975587,187.74040488277302,24.520508711550306
2023-08-08,177.4775848388672,177.94151520653074,175.2862586525361,177.3690050706545,67823000,188.79249877929686,186.76299315474728,23.419063993713465
2023-08-09,175.8883514404297,178.59294967088076,174.72358547458126,178.53372709089916,60378500,188.22097625732422,185.727312708401,23.715649575355258
2023-08-10,175.67120361328125,178.41529378720278,175.30598763799586,177.16169386807627,54686900,187.600594329834,184.76958779583515,24.553717998318447
2023-08-11,175.73048400878906,176.55087114534,174.50485775151037,175.26594233781003,52036700,186.97577362060548,183.90872057588467,22.434670842946588
2023-08-14,177.3811798095703,177.60851131506328,175.25607590732963,175.90843422608452,43675600,186.27061920166017,183.28704990086467,24.6973493547912
2023-08-15,175.39442443847656,177.40090780634856,174.99906405268155,176.80786722765603,43622600,185.47895889282228,182.53537114772584,20.647249610233686
2023-08-16,174.52464294433594,176.47180884084688,174.45544657600635,175.07815356283987,46964900,184.5761947631836,181.77244452573944,20.938896556481453
2023-08-17,171.9844207763672,175.4537562487029,171.47044012349116,175.08804707675128,66062900,183.64364471435547,180.8402516479411,11.710652396520615
2023-08-18,172.46876525878906,173.07169980381985,169.968073231539,170.30413115315332,61172200,182.7940444946289,180.0429671217748,11.303887630227408
2023-08-21,173.80307006835938,174.08971916130307,171.7274054668453,173.04200058882003,46311900,181.97118377685547,179.44869113898957,15.830885120780906
2023-08-22,175.17697143554688,175.62175563939851,174.2083279343983,175.00894251773767,42038900,181.17407913208007,179.0418606458672,21.959188684776862
2023-08-23,179.02194213867188,179.44696895877536,176.2642675025049,176.45206899868776,52722800,180.52579193115236,179.03996364499133,33.340774704520655
2023-08-24,174.33688354492188,179.0022100012417,173.97115923354147,178.57718312099877,54945800,179.70642547607423,178.59205121379387,39.254626425745585
2023-08-25,176.54100036621094,177.07473842454561,173.78332608108835,175.3252527852027,51449600,178.8684509277344,178.39671302176865,50.00243857674393
2023-08-28,178.10269165039062,178.49805204021447,176.48168992086147,178.0038440119186,43820700,178.07796096801758,178.36871098431573,51.28087760141622
2023-08-29,181.98715209960938,182.75811538578077,177.42067493043544,177.61835511729424,53003900,177.52315139770508,178.71332444706775,61.42237326652938
2023-08-30,185.47628784179688,185.67398314097,182.6000082560471,182.7976884731864,60813900,177.29234313964844,179.3574162381789,66.35886417213587
2023-08-31,185.69374084472656,186.92926105598286,185.30825914209595,185.66408956621913,60794500,177.14199523925782,179.96087575777332,66.53548730852373
2023-09-01,187.26531982421875,187.7199827815663,186.09898099052413,187.29497110047913,45766500,177.52329788208007,180.65653713212134,66.44737410059156
2023-09-05,187.50253295898438,187.77928826308653,185.4367469097816,186.09898389331408,45280000,178.0714324951172,181.3085367640931,71.39375364306116
2023-09-06,180.7911834716797,186.66237722656214,179.36786194540127,186.21757793807612,81755800,178.23711242675782,181.25926501994743,59.177763693882056
2023-09-07,175.503173828125,176.1456533918577,171.52973657694065,173.15073850258275,112488800,178.21785354614258,180.7110658385771,54.76956233078865
2023-09-08,176.11599731445312,178.15214742516778,175.73051558651892,176.2840413464044,65551300,178.24009323120117,180.27344025022913,54.92655257771906
2023-09-11,177.2823028564453,178.21141635408188,175.2856982178241,177.98408488615974,58953100,178.31768417358398,179.98857001363817,54.721051814276095
2023-09-12,174.25778198242188,178.04341790139725,172.79493020499618,177.4108321261293,90370200,178.16151428222656,179.4427806624041,48.80620677354789
2023-09-13,172.19198608398438,175.24618840249718,171.96463950783718,174.46533118918654,84267900,178.00139236450195,178.75222878070434,40.6998275468013
2023-09-14,173.70425415039062,174.060084556446,171.56927171405846,171.98440467411754,60895800,177.9603729248047,178.27146928133925,49.05709209567536
2023-09-15,172.98269653320312,174.45544195430384,171.806494041059,174.43566940930017,109259500,178.0102867126465,177.76777662845637,44.451276008788604
2023-09-18,175.90841674804688,177.30208708635865,174.1292647291417,174.43567131089117,67257600,178.18226928710936,177.59069473183854,46.71792765034805
2023-09-19,176.9956817626953,177.54919237650395,175.07815207769175,175.46363376102514,51826900,178.34189987182617,177.5340268290757,41.85225609024062
2023-09-20,173.4571533203125,177.61837681135137,173.36818440563272,177.18347129792434,58436200,178.25590896606445,177.14575315574922,30.41235011215167
2023-09-21,171.9152374267578,174.25779428093645,171.84605612937938,172.5280657800123,63149100,177.90057373046875,176.64760879384534,28.474352434123006
2023-09-22,172.76524353027344,175.0287248458324,172.03382526857388,172.6466384244914,56725400,177.82199172973634,176.2778597165832,26.824558417037323
2023-09-25,174.04031372070312,174.92000347180993,172.13266274999066,172.1820865728236,46172700,177.69695739746095,176.06476009556008,29.174279269454516
2023-09-26,169.96804809570312,173.1705067749598,169.67152023376326,172.7949188930673,64588900,177.29022521972655,175.48412085164108,31.76821610462035
2023-09-27,168.45574951171875,171.0355161486817,167.09174554279588,170.6203831944849,66921800,176.61365509033203,174.81475214651232,36.39826410444587
